animal,wolf,boa,fox,bear,eagle,horse,deer,rabbit,mouse,goat,sheep,boar,buffalo,duck,caterpillar,plant
wolf,-,0,0,0,0,10,15,60,80,60,70,15,10,40,0,0
boa,0,-,15,0,0,0,0,20,40,0,0,0,0,10,0,0
fox,0,0,-,0,0,0,0,70,90,0,0,0,0,60,40,0
bear,0,80,0,-,0,40,80,80,90,70,70,50,20,10,0,0
eagle,0,0,10,0,-,0,0,90,90,0,0,0,0,80,0,0
horse,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,100
deer,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,100
rabbit,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,100
mouse,0,0,0,0,0,0,0,0,-,0,0,0,0,0,90,100
goat,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,100
sheep,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,100
boar,0,0,0,0,0,0,0,0,50,0,0,-,0,0,90,100
buffalo,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,100
duck,0,0,0,0,0,0,0,0,0,0,0,0,0,-,90,100
caterpillar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,100